source,target,Type,Id,Label,timeset,Weight,weight_not_norm,year,season,start,end
3,2,Directed,46537,Brian O'Neil,"<[1999-12-31, 1999-12-31]>",987658,750000,2000,wintertransfers,2000-01-01,2020-06-01
4,2,Directed,46538,Youl Mawéné,"<[1999-12-31, 1999-12-31]>",921814,700000,2000,wintertransfers,2000-01-01,2020-06-01
9,8,Directed,46541,Daniel Sjölund,"<[1999-12-31, 1999-12-31]>",1975317,1500000,2000,wintertransfers,2000-01-01,2020-06-01
5,13,Directed,46543,Richard Dunne,"<[1999-12-31, 1999-12-31]>",5925951,4500000,2000,wintertransfers,2000-01-01,2020-06-01
14,13,Directed,46544,Darren Huckerby,"<[1999-12-31, 1999-12-31]>",5267512,4000000,2000,wintertransfers,2000-01-01,2020-06-01
15,13,Directed,46545,Laurent Charvet,"<[1999-12-31, 1999-12-31]>",1975317,1500000,2000,wintertransfers,2000-01-01,2020-06-01
22,20,Directed,46550,Mark Fish,"<[1999-12-31, 1999-12-31]>",2041161,1550000,2000,wintertransfers,2000-01-01,2020-06-01
8,9,Directed,46552,Rigobert Song,"<[1999-12-31, 1999-12-31]>",5399200,4100000,2000,wintertransfers,2000-01-01,2020-06-01
8,9,Directed,46553,Titi Camara,"<[1999-12-31, 1999-12-31]>",4345697,3300000,2000,wintertransfers,2000-01-01,2020-06-01
24,9,Directed,46554,Christian Dailly,"<[1999-12-31, 1999-12-31]>",3713596,2820000,2000,wintertransfers,2000-01-01,2020-06-01
27,9,Directed,46557,Sébastien Schemmel,"<[1999-12-31, 1999-12-31]>",921814,700000,2000,wintertransfers,2000-01-01,2020-06-01
9,14,Directed,46559,Rio Ferdinand,"<[1999-12-31, 1999-12-31]>",34238831,26000000,2000,wintertransfers,2000-01-01,2020-06-01
33,31,Directed,46563,Slavisa Jokanovic,"<[1999-12-31, 1999-12-31]>",2502068,1900000,2000,wintertransfers,2000-01-01,2020-06-01
29,36,Directed,46567,Ugo Ehiogu,"<[1999-12-31, 1999-12-31]>",16065913,12200000,2000,wintertransfers,2000-01-01,2020-06-01
37,36,Directed,46568,Dean Windass,"<[1999-12-31, 1999-12-31]>",2067498,1570000,2000,wintertransfers,2000-01-01,2020-06-01
18,38,Directed,46569,Chris Makin,"<[1999-12-31, 1999-12-31]>",2765444,2100000,2000,wintertransfers,2000-01-01,2020-06-01
36,38,Directed,46570,Alun Armstrong,"<[1999-12-31, 1999-12-31]>",987658,750000,2000,wintertransfers,2000-01-01,2020-06-01
37,15,Directed,46571,Andrew O'Brien,"<[1999-12-31, 1999-12-31]>",3950634,3000000,2000,wintertransfers,2000-01-01,2020-06-01
24,41,Directed,46574,Lee Carsley,"<[1999-12-31, 1999-12-31]>",4938292,3750000,2000,wintertransfers,2000-01-01,2020-06-01
43,42,Directed,46576,Lee Marshall,"<[1999-12-31, 1999-12-31]>",921814,700000,2000,wintertransfers,2000-01-01,2020-06-01
2,42,Directed,46577,Dean Sturridge,"<[1999-12-31, 1999-12-31]>",697945,530000,2000,wintertransfers,2000-01-01,2020-06-01
14,37,Directed,46580,Robert Molenaar,"<[1999-12-31, 1999-12-31]>",895477,680000,2000,wintertransfers,2000-01-01,2020-06-01
47,46,Directed,46582,Juan Esnáider,"<[1999-12-31, 1999-12-31]>",1975317,1500000,2000,wintertransfers,2000-01-01,2020-06-01
