id,Label,timeset,group,country,year,season,start,end,lat,lng,notes,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality,triangles
0,Arsenal FC,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,57,57,114,1047651881,693591531,1741243412,4,0.485714,0.544118,645.097555,0.078869,0.102051,1,0.002317,0,1,0.350847,0.57641,621
2,Derby County,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,13,23,36,29307174,123650180,152957354,4,0.40255,0.447587,83.866601,0.012182,0.020299,0,0.001362,0,1,0.406667,0.140043,122
3,VfL Wolfsburg,,1-bundesliga,Germany,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,68,51,119,444179208,382892466,827071674,4,0.487859,0.543741,1312.619479,0.072928,0.06141,2,0.002405,0,1,0.296081,0.384454,408
4,RC Lens,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,22,50,72,79795919,214323162,294119081,4,0.472222,0.531674,312.222051,0.026131,0.058414,4,0.001939,0,1,0.374359,0.301593,292
5,Everton FC,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,60,42,102,742415463,574169165,1316584628,4,0.464286,0.5181,654.41126,0.081505,0.064386,0,0.002116,0,1,0.37632,0.469175,499
8,Liverpool FC,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,81,72,153,1389953801,976725517,2366679318,4,0.498871,0.570513,1758.055506,0.121926,0.109323,1,0.002947,0,1,0.310883,0.646227,817
9,West Ham United,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,69,49,118,602843330,441119597,1043962927,4,0.470213,0.520362,956.622469,0.085899,0.083425,0,0.002268,0,1,0.316562,0.524816,453
10,FC Barcelona,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,61,58,119,1685158829,988336796,2673495625,4,0.493304,0.547134,491.066703,0.125299,0.111338,1,0.001813,0,1,0.421927,0.625955,381
11,Tottenham Hotspur,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,80,73,153,961321720,787554903,1748876623,4,0.504566,0.569759,1130.854879,0.098586,0.099878,0,0.002567,0,1,0.333626,0.61713,760
12,Southampton FC,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,33,35,68,349115254,521152138,870267392,4,0.430799,0.475113,182.409991,0.047879,0.058902,1,0.001773,0,1,0.410976,0.356268,337
13,Manchester City,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,85,58,143,1829498211,546997015,2376495226,4,0.497748,0.562217,1431.567929,0.134454,0.108113,1,0.002763,0,1,0.324407,0.69833,739
14,Leeds United,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,8,36,44,137819570,260616959,398436529,4,0.436759,0.484917,131.894074,0.013312,0.050801,0,0.001296,0,1,0.478261,0.220052,121
15,Newcastle United,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,63,52,115,556775188,511423644,1068198832,4,0.472222,0.534314,816.266617,0.075753,0.079902,0,0.002651,0,1,0.298255,0.492686,564
18,Sunderland AFC,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,65,41,106,424793424,229330196,654123620,4,0.457557,0.512066,640.535733,0.08134,0.054088,0,0.002137,0,1,0.377551,0.432044,444
20,Charlton Athletic,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,20,23,43,70835355,103149766,173985121,4,0.417769,0.464555,52.191751,0.025279,0.030517,0,0.001322,0,1,0.581538,0.18662,189
22,Bolton Wanderers,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,25,16,41,84089823,83341598,167431421,4,0.391844,0.430995,159.464503,0.024657,0.020576,0,0.001445,0,1,0.45584,0.189302,160
23,Blackpool FC,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,2,4,6,3272791,16983580,20256371,5,0.347484,0.374208,1.918055,0.000873,0.004529,1,0.000785,0,1,0.666667,0.024995,10
24,Blackburn Rovers,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,28,29,57,104780587,204046093,308826680,4,0.417769,0.465309,377.859088,0.028818,0.03316,0,0.001688,0,1,0.409091,0.215705,216
27,FC Metz,,ligue-1,France,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,6,20,26,16695829,63799999,80495828,4,0.431641,0.473228,50.375042,0.006646,0.021364,4,0.001191,0,1,0.426316,0.116322,81
28,Cardiff City,,premier-league,Wales,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,10,17,27,68016966,80089181,148106147,4,0.417769,0.458899,58.174352,0.01079,0.017281,0,0.001231,0,1,0.390476,0.107568,82
29,Aston Villa,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,62,44,106,452589513,341180585,793770098,4,0.45102,0.499623,578.498242,0.074296,0.062847,0,0.002258,0,1,0.355102,0.435395,435
31,Chelsea FC,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,77,67,144,1852931244,946607221,2799538465,4,0.5,0.567119,1425.093985,0.124062,0.117253,1,0.002596,0,1,0.33035,0.663199,775
33,Deportivo de La Coruña,,laliga,Spain,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,28,26,54,167442662,237936135,405378797,4,0.45102,0.495098,509.921408,0.032193,0.038865,1,0.002351,0,1,0.291667,0.21872,154
34,Manchester United,,premier-league,England,2000,wintertransfers,2000-01-01,2020-06-01,0,0,,48,54,102,1435767371,688899962,2124667333,4,0.479393,0.537707,762.59522,0.066782,0.080593,0,0.002044,0,1,0.358844,0.459661,422
